,,,,,,,,,,
,순,고객명,,전체수주가,2025년 수주가,2026년 수주가,입금 총액,2025년 잔금,미수금,비고
,1,지아이씨,,395235675.6999999,395235675.6999999,0,259765052.70000002,135470622.9999999,0,
,2,서울교통공사,,1200000,1200000,0,0,1200000,1200000,네이버시스템 법정관리로 서울교통공사 변제 방안 강구 중
,3,현대로템,,19883340,19883340,0,19883340,0,0,
,4,다원시스,,287000000,287000000,0,42000000,245000000,0,"250808 중도금 30%(\81,000,000) 전자세금계산서 발급"
,5,인터모빌리티,,71836909,71836909,0,53524209,18312700,0,
,6,GMTECH,,0,0,0,0,0,0,
,7-1,기타,김포골드라인,0,0,0,0,0,0,
,7-2,,Onsemi,0,0,0,0,0,0,
,7-3,,실리콘큐브,0,0,0,0,0,0,
,7-4,,무한테크,0,0,0,0,0,0,
,7-5,,티랩,0,0,0,0,0,0,
,7-6,,마루소프트,0,0,0,0,0,0,
,7-7,,신진금고,0,0,0,0,0,0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,소계,,775155924.6999999,775155924.6999999,0,375172601.70000005,399983322.9999999,1200000,
