,,,,,,,,,,,,,,,,,,,,,,,
,2025년 주식회사 지에이티 업무 진행현황,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,필요시 수정,필요시 수정,진행사항 기술,,,,,,,,,,,,
,순,고객,국가,PO or RFQ no.,견적 or 계약일자,납품일자,프로젝트명,진행,구분,담당,진행사항,지시사항,견적가,,,수주금액,,,제조원가,손익(%),입금 총액,"2025년
잔금",비고
,,,,,,,,,,,,,전체,AB,CD,전체,2025년,2026년,,,,,
,1,지아이씨,홍콩,CSP24-0524-1,,,"MOP, MSR, CTM 생산",진행,영업/생산,장덕수,"10월 22일, MTR진행사항에 있음.",MOP의 MS1과 MS2의 소프트웨어변경,245497525,245497525,,245497525,245497525,0,,,110026902,135470623,2024년 수주 이월
,,,홍콩,CSP24-0913-1,,,"MOP, MSR, CTM 3종에 대한 PCB",완결,영업/생산,장덕수,,,105304551,105304551,,105304551,105304551,0,,,105304551,0,"2024년 수주 이월 / 250808 대금 30%(\105,304,551) 입금 / 프로젝트 종료"
,,,홍콩,CSP24-0923-1,,,MSR PWR BOARD. FOR MSR.,완결,영업/생산,장덕수,,,44433600,44433600,,44433600,44433600,0,,,44433600,0,2024년 수주 이월 / 프로젝트 종료
,,,홍콩,,,,SCL 333량 SALOON CAMERA,대기,영업/생산,장덕수,"10월 22일, 10월 21일 MTR에 제안서 제출 완료",MTR RFQ대기,266616000,266616000,,,,,,,,,251021 견적서 제출 완료
,,,홍콩,,,,TCL DRM 개조,대기,연구소,김대양,"10월 22일, 10월 13일 MTR에 제안서 제출 완료",MTR RFQ대기,,,,,,,,,,,
,,,홍콩,,,,Modification work on the NVR for video footage,대기,연구소,장덕수,기술적인 필요사항들을 정리하여 보고 예정,Proposal해야 함.,,,,,,,,,,,251002 예비 제안서 및 견적서 제출 요청
,2,현대로템,홍콩,HRCPO20250226-001,,,EIDS 수리비 및 보수품,완결,연구소,강남궐,완료,,9983340,9983340,,9983340,9983340,0,8180000,,9983340,0,250615 입금 완료 / 프로젝트 종료
,,,말레이시아,,,,말레이시아 예비품,유효지남,영업/생산,장덕수,김종완 책임에게 자재 등을 포함하여 시장상황이 변동된 것을 협의,유효기간지남,188500000,,188500000,,,,,,,,
