,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,순,고객,국가,견적번호,RFQ no.,견적일,유효일,PO no.,수주일,납기,Item,구분,수량,수주금액 (전체),수주금액 (2025년),수주금액 (2026년),목표가,견적가(AB),견적가(CD),제조원가,손익(%),입금 총액,비고
,1,현대로템,홍콩,20240225-1,,2025-02-05 00:00:00,2025-02-20 00:00:00,HRCPO20250226-001,2025-02-26 00:00:00,2025-03-25 00:00:00,,EIDS 수리비 및 보수품,,9983340,9983340,0,9983340,9983340,,,,9983340,"USD 6885
250615 수금 완료 / 프로젝트 종료"
,2,현대로템,말레이시아,2025041501,,2025-04-15 00:00:00,2025-04-30 00:00:00,,,,,말레이시아 예비품,,,,,188500000,,188500000,,,,LED 품목 2종 포함 20250415 재견적
,3,현대로템,홍콩,20250325-1,,2025-03-25 00:00:00,2025-04-09 00:00:00,HRCPO20250326-001,2025-03-26 00:00:00,,,"홍콩 SW 및 AP, WIFI 점검 출장",,9900000,9900000,0,9900000,9900000,,,,9900000,USD 6875 / 수금 완료 / 프로젝트 종료
,4,현대로템,홍콩,HSJ20250521-02_rev.3,,2025-09-10 00:00:00,2025-09-30 00:00:00,,,,,"신역사 KTU 추가
방송소프트웨어 업데이트",,294790700,294790700,,294790700,294790700,,,,,250930 PO 수신
,5,현대로템,대한민국,HSJ20250425-01,,2025-09-17 00:00:00,2025-09-30 00:00:00,,,,,9호선열차번호표시기 예비품 공급 및 SW업데이트,,,,,26842450,,26842450,,,,250917 기 작업 견적에 예비품 견적을 포함하여 재견적 제출
,6,현대로템,카자흐스탄,,,,,,,,,알마티 전동차 28량 방송장치 대체품,,,,,,,,,,,
,7,현대로템,인도네시아,,,,,,,,,자카르타 경전철 방송장치 보드류 예비품,,,,,97470000,97470000,,,,,현대로템과 공동으로 시행청 협의 예정 (9월 3~4일)
,8,현대로템,인도네시아,,,,,,,,,자카르타 경전철 TCMS 신규 개발,,,,,695290000,,695290000,,,,현대로템과 공동으로 시행청 협의 예정 (9월 3~4일)
,9,현대로템,튀르키예,,,,,,,,,자카르타 경전철 CCTV 대체품,,,,,,,,,,,
,10,현대로템,튀르키예,,,2025-10-14 00:00:00,,,,,,자카르타 경전철 CTM 대체품,,,,,64440000,64440000,,,,,
,11,현대로템,튀르키예,,,,,,,,,자카르타 경전철 얘비품_DRM 등,,,,,,,,,,,
,12,현대로템,튀르키예,,,,,,,,,예니카프 전동차 68량 CCTV,,,,,,,,,,,
,13,현대로템,튀르키예,,,,,,,,,예니카프 전동차 68량 스피커 및 노이즈 센서,,,,,,,,,,,
,14,현대로템,튀르키예,,,2025-10-14 00:00:00,,,,,,마르마라이 전동차 OPERATION PANEL,,,,,179400000,179400000,,,,,
,15,현대로템,튀르키예,,,,,,,,,예니카프 전동차 68량 보드,,,,,,,,,,,
,16,현대로템,튀르키예,,,,,,,,,마흐뭇베이 SENSOR_NOISE 포함 6종,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,314674040,314674040,0,1566616490,655984040,910632450,0,0,19883340,
